job_code,title,job_group,job_subgroup,employee_category,salary_range_summary,salary_range_detail,job_summary,job_responsibilities,education,flsa_status,institution_job,supervisory_required,scaled_job,job_codes_detail,knowledges,skills,direct_link
AE099,Academic Advising Assistant Director,Academic Services and Student Experience,Academic Advising,Academic Staff,Scaled (expand for details),"23: $65,449-121,735; 22: $60,601-112,718 (B); 22: $60,601-112,718 (C)","Serves as a work unit leader on academic advising and related service delivery. Contributes to strategic initiatives, program, and personnel management, and strives to create a welcoming, equitable, and inclusive work environment.","Exercises supervisory authority, including hiring, transferring, suspending, promoting, managing conduct and performance, discharging, assigning, rewarding, disciplining, and/or approving hours worked of at least 2.0 full-time equivalent (FTE) employees; Contributes to the conceptualization, development, and implementation of strategic initiatives to ensure alignment of strategy and operations; Receives, processes, and responds to academic inquiries according to established policies and procedures; Advises students and provides information about educational options and academic requirements. Identifies and assesses interests, skills, and values to match appropriate field of study/career options and refers students to appropriate institutional resources; Develops and implements academic advising events such as workshops, panel discussions, and guest speakers; Maintains confidentiality and accurate student records and processes and responds to academic inquiries according to established institutional and Family Educational Rights and Privacy Act (FERPA) policies; Participates in the campus-wide advising community providing input to leadership regarding the development of advising, recruitment, and co/curricular programs offered by the school/college; Manages one or more specific operational area(s) or functional area(s) or program(s) within the unit; Serves as a liaison to internal and external stakeholders to maintain campus partnerships; Maintains expertise with advised curriculum and may assist in developing and recommending exceptions for policy and curriculum",Bachelor's Degree Preferred Minimum,Exempt,No,Yes,Yes,AE099: Academic Advising Assistant Director; AE131: Academic Advising Assistant Director (B); AE158: Academic Advising Assistant Director (C),Administrative; Customer and Personal Service; Education and Training; Psychology; Therapy and Counseling,Active Listening; Critical Thinking; Service Orientation; Social Perceptiveness; Speaking,https://hr.wisc.edu/standard-job-descriptions/?q=AE099
AE180,Academic Advising Assistant Director (Inst),Academic Services and Student Experience,Academic Advising,Academic Staff,"23: $65,449-121,735","23: $65,449-121,735","Serves as a work unit leader on academic advising and related service delivery. Contributes to strategic initiatives, program, and personnel management, and strives to create a welcoming, equitable, and inclusive work environment.","Exercises supervisory authority, including hiring, transferring, suspending, promoting, managing conduct and performance, discharging, assigning, rewarding, disciplining, and/or approving hours worked of at least 2.0 full-time equivalent (FTE) employees; Contributes to the conceptualization, development, and implementation of strategic initiatives to ensure alignment of strategy and operations; Receives, processes, and responds to academic inquiries according to established policies and procedures; Advises students and provides information about educational options and academic requirements. Identifies and assesses interests, skills, and values to match appropriate field of study/career options and refers students to appropriate institutional resources; Develops and implements academic advising events such as workshops, panel discussions, and guest speakers; Maintains confidentiality and accurate student records and processes and responds to academic inquiries according to established institutional and Family Educational Rights and Privacy Act (FERPA) policies; Participates in the campus-wide advising community providing input to leadership regarding the development of advising, recruitment, and co/curricular programs offered by the institution; Manages one or more specific operational area(s) or functional area(s) or program(s) within the central institutional unit; Serves as an institutional liaison to internal and external stakeholders to maintain campus partnerships; Maintains expertise with advised curriculum and may assist in developing and recommending exceptions for policy and curriculum",Bachelor's Degree Preferred Minimum,Exempt,Yes,Yes,No,AE180: Academic Advising Assistant Director (Inst),Administrative; Customer and Personal Service; Education and Training; Psychology; Therapy and Counseling,Active Listening; Critical Thinking; Service Orientation; Social Perceptiveness; Speaking,https://hr.wisc.edu/standard-job-descriptions/?q=AE180
AE001,Academic Advising Associate Director,Academic Services and Student Experience,Academic Advising,Academic Staff,Scaled (expand for details),"24: $71,994-133,908; 23: $65,449-121,735 (B); 23: $65,449-121,735 (C)","Leads one or more major operations of the academic advising unit and assists in the development of strategy, policy, and protocol. Administers services and cultivates relationships to support student academic progress within a school or college, to ensure that all students receive quality academic support. Represents the director when needed and strives to create a welcoming, equitable, and inclusive work environment.","Leads one or more major operations of the advising unit and plans and directs staff implementation of academic services, related programs, and other events; Assists in the development of strategic planning initiatives to ensure appropriate use of financial, administrative, and staffing resources, and alignment with the strategic plan; Assists in the development of operating policies and procedures to comply with regulations, institutional policies, and unit objectives; Reviews and makes recommendations for exceptions to academic policies, procedures, and requirements for students; Exercises supervisory authority, including hiring, transferring, suspending, promoting, managing conduct and performance, discharging, assigning, rewarding, disciplining, and/or approving hours worked of at least 2.0 full-time equivalent (FTE) employees; Maintains expertise with advised curriculum and may assist in developing and recommending exceptions for policy and curriculum; Serves as a liaison to internal and external stakeholders to maintain campus partnerships; Participates in the campus-wide advising community, providing input to leadership regarding the development of advising, recruitment, and co/curricular programs offered by the school/college",Master's Degree Preferred Minimum,Exempt,No,Yes,Yes,AE001: Academic Advising Associate Director; AE108: Academic Advising Associate Director (B); AE135: Academic Advising Associate Director (C),Administration and Management; Administrative; Customer and Personal Service; Education and Training; Personnel and Human Resources,Active Listening; Critical Thinking; Instructing; Monitoring; Reading Comprehension,https://hr.wisc.edu/standard-job-descriptions/?q=AE001
AE179,Academic Advising Associate Director (Inst),Academic Services and Student Experience,Academic Advising,Academic Staff,"24: $71,994-133,908","24: $71,994-133,908","Leads one or more major operations of the institutional academic advising unit and assists in the development of strategy, policy, and protocol. Administers services and cultivates relationships to support student academic progress for the institution, to ensure that all students receive quality academic support. Represents the director when needed and strives to create a welcoming, equitable, and inclusive work environment.","Leads one or more major operations of the institutional advising unit and plans and directs staff implementation of academic services, related programs, and other events; Assists in the development of strategic planning initiatives to ensure appropriate use of financial, administrative, and staffing resources, and alignment with the strategic plan; Assists in the development of institutional operating policies and procedures to comply with regulations, institutional policies, and objectives; Reviews and makes recommendations for exceptions to academic policies, procedures, and requirements for students; Exercises supervisory authority, including hiring, transferring, suspending, promoting, managing conduct and performance, discharging, assigning, rewarding, disciplining, and/or approving hours worked of at least 2.0 full-time equivalent (FTE) employees; Maintains expertise with advised curriculum and may assist in developing and recommending exceptions for policy and curriculum; Serves as a liaison to internal and external stakeholders to maintain campus partnerships; Participates in the campus-wide advising community, providing input to leadership regarding the development of advising, recruitment, and co/curricular programs offered by the institution",Master's Degree Preferred Minimum,Exempt,Yes,Yes,No,AE179: Academic Advising Associate Director (Inst),Administration and Management; Administrative; Customer and Personal Service; Education and Training; Personnel and Human Resources,Active Listening; Critical Thinking; Instructing; Monitoring; Reading Comprehension,https://hr.wisc.edu/standard-job-descriptions/?q=AE179
AE005,Academic Advising Director,Academic Services and Student Experience,Academic Advising,Limited,Scaled (expand for details),"25: $79,193-147,299; 24: $71,994-133,908 (B); 23: $65,449-121,735 (C)","Directs and oversees advising services and staff within a school/college. Works collaboratively across all levels of the institution to coordinate services, ensure delivery of high impact advising, and strives to create a welcoming, equitable, and inclusive work environment.","Directs strategic planning efforts and establishes academic service objectives to ensure appropriate use of financial, administrative, and staffing resources and alignment with regulations, institutional policies, and the strategic plan; Directs and oversees financial management of a unit; Directs professional advising staff on programming, initiatives, and curricular updates; Evaluates and implements best practices in advising, leverages data, assessment, and technology to drive outcomes; Coordinates the planning and execution of advising and academic events and programs; Exercises supervisory authority, including hiring, transferring, suspending, promoting, managing conduct and performance, discharging, assigning, rewarding, disciplining, and/or approving hours worked of at least 2.0 full-time equivalent (FTE) employees; Participates and leads in the campus-wide advising community providing input to leadership regarding the development of advising, recruitment, and co/curricular programs offered by the school/college",Master's Degree Preferred Minimum,Exempt,No,Yes,Yes,AE005: Academic Advising Director; AE109: Academic Advising Director (B); AE136: Academic Advising Director (C),Administration and Management; Administrative; Customer and Personal Service; Education and Training; Personnel and Human Resources,Active Listening; Critical Thinking; Instructing; Monitoring; Reading Comprehension,https://hr.wisc.edu/standard-job-descriptions/?q=AE005
AE004,Academic Advising Director (Inst),Academic Services and Student Experience,Academic Advising,Limited,"27: $95,824-178,232","27: $95,824-178,232","Directs and oversees the central advising office and staff across campus. Works collaboratively across all advising units across campus to coordinate services and ensure delivery of high impact advising, from new student enrollment to matriculation. Strives to create a welcoming, equitable, and inclusive work environment.","Oversees financial management of central campus advising unit; Directs professional advising staff on programming, initiatives, and curricular updates; Evaluates and implements best practices in advising; Coordinates orientation programs; Exercises supervisory authority, including hiring, transferring, suspending, promoting, managing conduct and performance, discharging, assigning, rewarding, disciplining, and/or approving hours worked of at least 2.0 full-time equivalent (FTE) employees",Master's Degree Preferred Minimum,Exempt,Yes,Yes,No,AE004: Academic Advising Director (Inst),Administration and Management; Administrative; Customer and Personal Service; Education and Training; Personnel and Human Resources,Active Listening; Critical Thinking; Instructing; Monitoring; Reading Comprehension,https://hr.wisc.edu/standard-job-descriptions/?q=AE004
AE003,Academic Advising Manager,Academic Services and Student Experience,Academic Advising,Academic Staff,"21: $56,112-104,368","21: $56,112-104,368","Engages students in decision making processes and promotes appropriate and responsible choices on academic matters, such as course selection and degree requirements. Maintains appropriate confidentiality, updates student advising records, and contributes to the development of academic advising related programming. Works to ensure students receive accurate, timely, and holistic advising services in support of promoting student success, retention, and program completion. Supervises unit staff and/or manages an advising services portfolio and strives to create a welcoming, equitable, and inclusive work environment.","Receives, processes, and responds to academic inquiries according to established policies and procedures; Serves as a main point of contact for students and provides information about educational options and academic requirements; assists with identifying and assessing interests, skills, and values to match appropriate field of study/career options, and refers students to appropriate institutional resources; Develops and implements academic advising events such as workshops, panel discussions, and guest speakers; Maintains confidentiality and accurate student records and processes and responds to academic inquiries according to established institutional and Family Educational Rights and Privacy Act (FERPA) policies; Supervises unit staff and/or plans, organizes, allocates resources, assesses performance, and leads the operational activities of a function within the advising or academic services portfolio, such as program management and/or curriculum management; Maintains expertise with advised curriculum and may assist in developing and recommending exceptions for policy and curriculum; Proactively engages students as needed; Participates in the campus-wide advising community providing input to leadership regarding the development of advising, recruitment, and co/curricular programs offered by the school/college",Bachelor's Degree Preferred Minimum,Exempt,No,No,No,AE003: Academic Advising Manager,Administrative; Customer and Personal Service; Education and Training; Psychology; Therapy and Counseling,Active Listening; Critical Thinking; Service Orientation; Social Perceptiveness; Speaking,https://hr.wisc.edu/standard-job-descriptions/?q=AE003
AE002,Academic Advisor,Academic Services and Student Experience,Academic Advising,Academic Staff,"18: $44,543-82,851","18: $44,543-82,851","Engages students in decision making processes and promotes appropriate and responsible choices on academic matters such as course selection and degree requirements. Maintains appropriate confidentiality, updates student advising records, and contributes to the development and delivery of academic advising related events and programs. Works to ensure students receive accurate, timely, and holistic advising services in support of promoting student success, retention, and program completion. Strives to create a welcoming, equitable, and inclusive work environment.","Receives, processes, and responds to academic inquiries according to established policies and procedures; Serves as a main point of contact for students and provides information about educational options and academic requirements; assists with identifying and assessing interests, skills, and values to match appropriate field of study/career options, and refers students to appropriate institutional resources; Implements academic advising events such as workshops, panel discussions, and guest speakers; Maintains confidentiality and accurate student records and processes and responds to academic inquiries according to established institutional and Family Educational Rights and Privacy Act (FERPA) policies; Maintains expertise with advised curriculum and may assist in developing and recommending exceptions for policy and curriculum; Proactively engages students as needed; Participates in the campus-wide advising community providing input to leadership regarding the development of advising, recruitment, and co/curricular programs offered by the school/college",Bachelor's Degree Preferred Minimum,Exempt,No,No,No,AE002: Academic Advisor,Administrative; Customer and Personal Service; Education and Training; Psychology; Therapy and Counseling,Active Listening; Critical Thinking; Service Orientation; Social Perceptiveness; Speaking,https://hr.wisc.edu/standard-job-descriptions/?q=AE002
AE008,Academic Assessment Analyst,Academic Services and Student Experience,Academic and Student Experience Services,Academic Staff,"20: $51,955-96,637","20: $51,955-96,637","Develops, conducts, and delivers qualitative and/or quantitative research on institutional initiatives to inform leadership on initiative status and contribute to strategic planning. May assign or supervise the work of others.",Conducts and delivers quantitative research focused on identification and analysis of patterns in institutional data; Makes critical observations of policy impact of findings and recommends strategies and actions; Organizes and conducts research projects while identifying ways to improve research design and data validity; Leads day-to-day operational activities of an academic services work unit and facilitates staff training as needed,Master's Degree Preferred Minimum,Exempt,No,No,No,AE008: Academic Assessment Analyst,Computers and Electronics; Design; Education and Training; Engineering and Technology; Production and Processing,Active Listening; Complex Problem Solving; Critical Thinking; Mathematics; Reading Comprehension,https://hr.wisc.edu/standard-job-descriptions/?q=AE008
TL049,Academic Assessment Coordinator (Inst),Teaching and Learning,"Curriculum Development, Management and Assessment of for-credit courses",Academic Staff,"23: $65,449-121,735","23: $65,449-121,735","Coordinates one or more major programs and assists in the development of strategy, policy, and programs to advance teaching and learning and academic assessment at the institutional level. Provides expertise on academic and curricular planning, evidence-based and student-centered pedagogies and effective assessment practices. Operates in the context of shared governance and policy set at the institutional level, and externally set requirements.","Coordinates one or more major programs of the assessment unit and assists in the development of strategy, policy, and programs; Administers services and cultivates relationships to support academic assessment within a school, college, academic program, or course, and provides continuous professional development and consultation services; Reviews proposals for new academic programs, program changes, new courses, and course changes to ensure that proposals meet policy standards, and provides feedback to proposing academic units; Assists with the design and implementation of technology solutions that support teaching and learning and assessment; Oversees the development and implementation of assessment planning and reporting and works closely with academic units to ensure requirements are met; Collects, prepares, and assists with the analysis of assessment information for annual and compliance reporting; Assists with the development of communication strategies, and designs and delivers directed academic assessment messaging to internal and external audiences; Serves as a liaison to internal and external stakeholders to advance and maintain campus partnerships",Bachelor's Degree Preferred Minimum,Exempt,Yes,No,No,TL049: Academic Assessment Coordinator (Inst),Administration and Management; Computers and Electronics; Customer and Personal Service; Education and Training; Public Safety and Security,Active Listening; Instructing; Learning Strategies; Speaking; Writing,https://hr.wisc.edu/standard-job-descriptions/?q=TL049
TL048,Academic Assessment Director (Inst),Teaching and Learning,"Curriculum Development, Management and Assessment of for-credit courses",Limited,"29: $126,727-235,712","29: $126,727-235,712","Provides strategic, academic, and operational leadership for advancing teaching and learning and academic assessment at the institutional level. Develops, implements, and monitors learning assessment strategies, policies, and processes that align with the institutional assessment plan. Operates in the context of shared governance and policy set at the institutional level, and externally set requirements.","Provides leadership for academic assessment by establishing strategic direction and setting priorities that align with the academic mission, strategic and educational directives of institutional leadership and the institutional assessment plan; Oversees the development, implementation, and on-going evaluation and continuous improvement of assessment policies, practices, and processes to support academic, curricular, and course planning, teaching effectiveness, and student learning; Directs various initiatives, programs, and committees to ensure academic units effectively carry out institutional assessment policies and practices; Advises and partners with institutional academic leadership and other campus leaders to develop and implement academic instructional technology strategies and policies in support of teaching and learning and assessment; Builds consensus and develops collaborative working relationships with a broad range of internal and external stakeholders, and partners with campus academic units to advance teaching and learning and assessment initiatives and gather feedback for improvement; Exercises supervisory authority, including hiring, transferring, suspending, promoting, managing conduct and performance, discharging, assigning, rewarding, disciplining, and/or approving hours worked of at least 2.0 full-time equivalent (FTE) employees",Bachelor's Degree Preferred Minimum,Exempt,Yes,Yes,No,TL048: Academic Assessment Director (Inst),Administration and Management; Administrative; Customer and Personal Service; Education and Training; Personnel and Human Resources,Active Listening; Critical Thinking; Instructing; Monitoring; Reading Comprehension,https://hr.wisc.edu/standard-job-descriptions/?q=TL048
TL050,Academic Assessment Manager,Teaching and Learning,"Curriculum Development, Management and Assessment of for-credit courses",Academic Staff,"24: $71,994-133,908","24: $71,994-133,908","Develops and oversees assessment strategy, policy, and protocol for one or more academic programs, and academic planning. May assign or supervise the work of others.","Plans, executes, and evaluates data collection initiatives, and maintains management and collection resources; Serves as a subject matter expert and liaison to internal and external stakeholders; Provides operational guidance on the implementation of new or revised institutional operational policies and procedures for learning and programmatic assessment; Continuously improves methods and processes for assessment instrument development; Collects, prepares, and analyzes data, and prepares reports; Manages complex databases and performs analyses of large data sets; May exercise supervisory authority, including hiring, transferring, suspending, promoting, managing conduct and performance, discharging, assigning, rewarding, disciplining, and/or approving hours worked of at least 2.0 FTE or equivalent employees",Bachelor's Degree Preferred Minimum,Exempt,No,No,No,TL050: Academic Assessment Manager,Administration and Management; Computers and Electronics; Customer and Personal Service; Education and Training; Public Safety and Security,Active Listening; Instructing; Learning Strategies; Speaking; Writing,https://hr.wisc.edu/standard-job-descriptions/?q=TL050
TL036,Academic Assessment Specialist,Teaching and Learning,"Curriculum Development, Management and Assessment of for-credit courses",Academic Staff,"21: $56,112-104,368","21: $56,112-104,368",Provides subject matter expertise in the development of assessment content and participates in the creation of assessment administration and scoring materials for one or more assessment programs.,"Assists with the design and development of assessment content, both with internal colleagues and with vendors, including reviewing testing materials, making necessary revisions to items, and recommending items to be replaced or rearranged on pilot or operational forms; Assists with the creation and refinement of assessment scoring and assessment administration materials; Participates in annual quality-control processes to ensure on-time and accurate delivery of one or more assessment programs; Supports other internal stakeholder groups in providing training on one or more assessment programs",Bachelor's Degree Preferred Minimum,Exempt,No,No,No,TL036: Academic Assessment Specialist,Administration and Management; Computers and Electronics; Customer and Personal Service; Education and Training; Public Safety and Security,Active Listening; Instructing; Learning Strategies; Speaking; Writing,https://hr.wisc.edu/standard-job-descriptions/?q=TL036
